freq_mhz,canal,mediana,pct_ocupado
844.121,A,-70.772,24.59
844.141,A,-69.676,26.23
844.16,A,-68.234,26.23
844.18,A,-68.731,26.23
844.199,A,-69.596,24.59
844.219,A,-68.794,26.23
844.238,A,-68.764,26.23
844.258,A,-70.284,29.508
844.277,A,-71.211,29.508
844.297,A,-72.479,27.869
844.316,A,-71.463,26.23
844.336,A,-69.758,24.59
844.355,A,-70.876,24.59
844.375,A,-70.321,21.311
844.395,A,-70.564,18.033
844.414,A,-71.289,19.672
844.434,A,-70.359,21.311
844.453,A,-69.066,21.311
844.473,A,-69.679,22.951
844.492,A,-69.309,21.311
844.512,A,-69.013,21.311
844.531,A,-70.025,21.311
844.551,A,-70.954,24.59
844.57,A,-69.403,24.59
844.59,A,-69.536,22.951
844.609,A,-70.073,22.951
844.629,A,-70.142,22.951
844.648,A,-71.14,24.59
844.668,A,-69.387,24.59
844.688,A,-68.52,22.951
844.707,A,-67.43,21.311
844.727,A,-68.001,21.311
844.746,A,-67.536,26.23
844.766,A,-68.965,22.951
844.785,A,-69.279,24.59
844.805,A,-69.589,22.951
844.824,A,-70.267,24.59
844.844,A,-68.985,24.59
844.863,A,-69.581,27.869
844.883,A,-69.041,27.869
844.902,A,-69.385,22.951
844.922,A,-70.028,24.59
844.941,A,-68.208,22.951
844.961,A,-68.58,24.59
844.98,A,-69.586,24.59
845.0,B,-69.425,22.951
845.02,B,-69.215,21.311
845.039,B,-69.054,22.951
845.059,B,-70.071,24.59
845.078,B,-70.611,24.59
845.098,B,-69.999,22.951
845.117,B,-69.589,22.951
845.137,B,-68.72,22.951
845.156,B,-69.245,24.59
845.176,B,-70.093,22.951
845.195,B,-69.318,19.672
845.215,B,-68.047,19.672
845.234,B,-68.535,19.672
845.254,B,-68.911,22.951
845.273,B,-67.576,24.59
845.293,B,-68.46,21.311
845.312,B,-68.409,21.311
845.332,B,-70.143,21.311
845.352,B,-71.333,22.951
845.371,B,-70.017,22.951
845.391,B,-69.875,19.672
845.41,B,-69.605,22.951
845.43,B,-69.895,22.951
845.449,B,-70.639,24.59
845.469,B,-69.489,24.59
845.488,B,-68.274,22.951
845.508,B,-68.519,22.951
845.527,B,-68.841,22.951
845.547,B,-69.423,24.59
845.566,B,-69.649,26.23
845.586,B,-70.212,27.869
845.605,B,-70.893,26.23
845.625,B,-69.613,26.23
845.645,B,-70.229,29.508
845.664,B,-69.815,26.23
845.684,B,-69.595,27.869
845.703,B,-70.076,24.59
845.723,B,-70.692,21.311
845.742,B,-70.213,22.951
845.762,B,-69.455,22.951
845.781,B,-69.603,21.311
845.801,B,-68.488,19.672
845.82,B,-68.626,21.311
845.84,B,-71.948,22.951
845.859,B,-72.502,22.951
845.879,B,-71.519,22.951
845.898,B,-69.054,19.672
845.918,B,-69.475,21.311
845.938,B,-69.963,22.951
845.957,B,-70.415,24.59
845.977,B,-70.612,26.23
845.996,B,-70.798,24.59
846.016,B,-69.724,24.59
846.035,B,-68.651,26.23
846.055,B,-67.615,24.59
846.074,B,-67.994,24.59
846.094,B,-68.913,24.59
846.113,B,-70.348,27.869
846.133,B,-69.829,29.508
846.152,B,-69.791,29.508
846.172,B,-69.209,27.869
846.191,B,-69.927,24.59
846.211,B,-69.859,26.23
846.23,B,-68.503,27.869
846.25,B,-70.099,26.23
846.27,B,-68.968,24.59
846.289,B,-68.959,24.59
846.309,B,-69.725,24.59
846.328,B,-69.312,24.59
846.348,B,-70.766,24.59
846.367,B,-69.986,24.59
846.387,B,-69.405,22.951
846.406,B,-68.839,22.951
846.426,B,-68.977,24.59
846.445,B,-68.917,22.951
846.465,B,-69.073,22.951
846.484,B,-69.807,22.951
846.504,B,-69.951,22.951
846.523,B,-68.339,26.23
846.543,B,-67.969,26.23
846.562,B,-67.527,27.869
846.582,B,-68.071,26.23
846.602,B,-68.326,27.869
846.621,B,-69.906,27.869
846.641,B,-69.973,27.869
846.66,B,-68.201,31.148
846.68,B,-68.06,29.508
846.699,B,-68.87,29.508
846.719,B,-68.991,29.508
846.738,B,-67.537,31.148
846.758,B,-68.352,29.508
846.777,B,-68.492,27.869
846.797,B,-68.77,27.869
846.816,B,-69.348,27.869
846.836,B,-70.022,29.508
846.855,B,-70.477,29.508
846.875,B,-69.865,31.148
846.895,B,-69.959,27.869
846.914,B,-69.145,27.869
846.934,B,-68.093,29.508
846.953,B,-68.847,29.508
846.973,B,-69.657,29.508
846.992,B,-68.607,29.508
847.012,B,-68.915,27.869
847.031,B,-69.257,27.869
847.051,B,-68.988,27.869
847.07,B,-68.79,27.869
847.09,B,-68.236,26.23
847.109,B,-67.608,26.23
847.129,B,-67.806,26.23
847.148,B,-69.262,27.869
847.168,B,-69.228,27.869
847.188,B,-68.664,26.23
847.207,B,-68.362,24.59
847.227,B,-68.901,26.23
847.246,B,-68.031,31.148
847.266,B,-68.237,31.148
847.285,B,-68.048,29.508
847.305,B,-69.265,27.869
847.324,B,-67.899,29.508
847.344,B,-67.461,29.508
847.363,B,-68.088,29.508
847.383,B,-69.673,27.869
847.402,B,-69.423,26.23
847.422,B,-69.386,27.869
847.441,B,-69.47,29.508
847.461,B,-69.082,29.508
847.48,B,-68.551,27.869
847.5,B,-68.308,27.869
847.52,B,-68.478,29.508
847.539,B,-67.496,27.869
847.559,B,-66.831,27.869
847.578,B,-68.216,29.508
847.598,B,-67.939,29.508
847.617,B,-67.915,31.148
847.637,B,-68.587,31.148
847.656,B,-69.095,31.148
847.676,B,-68.247,29.508
847.695,B,-68.419,31.148
847.715,B,-68.421,31.148
847.734,B,-68.193,31.148
847.754,B,-68.063,29.508
847.773,B,-68.574,26.23
847.793,B,-67.316,27.869
847.812,B,-66.492,27.869
847.832,B,-65.671,27.869
847.852,B,-66.12,29.508
847.871,B,-66.333,29.508
847.891,B,-66.732,27.869
847.91,B,-67.444,29.508
847.93,B,-66.854,31.148
847.949,B,-66.897,31.148
847.969,B,-66.351,31.148
847.988,B,-65.942,29.508
848.008,B,-66.542,29.508
848.027,B,-67.849,29.508
848.047,B,-69.213,31.148
848.066,B,-68.045,31.148
848.086,B,-67.441,26.23
848.105,B,-66.402,27.869
848.125,B,-67.046,31.148
848.145,B,-66.866,27.869
848.164,B,-67.791,26.23
848.184,B,-67.972,24.59
848.203,B,-67.923,29.508
848.223,B,-68.031,29.508
848.242,B,-68.038,27.869
848.262,B,-68.876,27.869
848.281,B,-68.192,27.869
848.301,B,-68.517,27.869
848.32,B,-67.657,27.869
848.34,B,-67.397,27.869
848.359,B,-66.325,27.869
848.379,B,-66.102,26.23
848.398,B,-65.756,26.23
848.418,B,-66.013,26.23
848.438,B,-66.181,24.59
848.457,B,-67.197,24.59
848.477,B,-67.315,24.59
848.496,B,-67.023,24.59
848.516,B,-67.625,26.23
848.535,B,-67.354,27.869
848.555,B,-67.674,29.508
848.574,B,-66.741,27.869
848.594,B,-67.058,29.508
848.613,B,-67.144,29.508
848.633,B,-66.583,27.869
848.652,B,-65.877,29.508
848.672,B,-67.092,31.148
848.691,B,-67.824,29.508
848.711,B,-68.608,29.508
848.73,B,-68.489,31.148
848.75,B,-67.457,31.148
848.77,B,-67.228,24.59
848.789,B,-67.041,24.59
848.809,B,-67.677,27.869
848.828,B,-67.479,27.869
848.848,B,-68.399,26.23
848.867,B,-69.474,24.59
848.887,B,-68.447,27.869
848.906,B,-67.68,26.23
848.926,B,-66.895,26.23
848.945,B,-66.234,26.23
848.965,B,-67.384,26.23
848.984,B,-67.241,22.951
849.004,B,-67.314,27.869
849.023,B,-66.715,26.23
849.043,B,-66.306,26.23
849.062,B,-67.222,26.23
849.082,B,-67.514,29.508
849.102,B,-66.922,31.148
849.121,B,-66.834,29.508
849.141,B,-67.053,31.148
849.16,B,-66.419,31.148
849.18,B,-65.382,31.148
849.199,B,-65.989,32.787
849.219,B,-66.895,32.787
849.238,B,-66.084,29.508
849.258,B,-66.832,32.787
849.277,B,-66.77,29.508
849.297,B,-66.455,31.148
849.316,B,-66.208,29.508
849.336,B,-65.78,32.787
849.355,B,-66.433,34.426
849.375,B,-65.396,31.148
849.395,B,-65.722,27.869
849.414,B,-65.748,29.508
849.434,B,-66.599,27.869
849.453,B,-64.9,29.508
849.473,B,-66.067,26.23
849.492,B,-67.603,31.148
849.512,B,-65.904,31.148
849.531,B,-66.68,32.787
849.551,B,-66.973,31.148
849.57,B,-66.878,32.787
849.59,B,-66.346,34.426
849.609,B,-65.007,37.705
849.629,B,-64.599,37.705
849.648,B,-65.226,34.426
849.668,B,-64.208,31.148
849.688,B,-62.906,36.066
849.707,B,-62.415,39.344
849.727,B,-62.716,39.344
849.746,B,-64.404,42.623
849.766,B,-64.181,44.262
849.785,B,-62.756,42.623
849.805,B,-62.61,44.262
849.824,B,-60.494,45.902
849.844,B,-60.187,47.541
849.863,B,-60.355,45.902
849.883,B,-60.19,49.18
849.902,B,-60.136,49.18
849.922,B,-59.991,50.82
849.941,B,-59.671,54.098
849.961,B,-59.288,54.098
849.98,B,-58.608,54.098
850.0,C,-57.928,54.098
850.02,C,-58.034,55.738
850.039,C,-58.317,55.738
850.059,C,-58.259,57.377
850.078,C,-58.275,57.377
850.098,C,-58.626,55.738
850.117,C,-59.952,50.82
850.137,C,-59.508,52.459
850.156,C,-60.835,49.18
850.176,C,-60.706,47.541
850.195,C,-60.394,45.902
850.215,C,-61.111,45.902
850.234,C,-60.26,47.541
850.254,C,-60.403,49.18
850.273,C,-61.651,47.541
850.293,C,-61.502,40.984
850.312,C,-61.477,44.262
850.332,C,-63.037,42.623
850.352,C,-62.532,40.984
850.371,C,-63.025,36.066
850.391,C,-62.707,40.984
850.41,C,-63.055,40.984
850.43,C,-62.782,44.262
850.449,C,-61.951,40.984
850.469,C,-61.396,44.262
850.488,C,-61.854,47.541
850.508,C,-61.221,45.902
850.527,C,-60.931,47.541
850.547,C,-61.359,47.541
850.566,C,-60.457,49.18
850.586,C,-60.809,45.902
850.605,C,-61.64,45.902
850.625,C,-61.91,44.262
850.645,C,-62.21,44.262
850.664,C,-60.09,49.18
850.684,C,-60.189,47.541
850.703,C,-61.443,44.262
850.723,C,-61.024,40.984
850.742,C,-59.299,50.82
850.762,C,-61.246,45.902
850.781,C,-59.173,52.459
850.801,C,-58.606,55.738
850.82,C,-59.038,54.098
850.84,C,-58.315,57.377
850.859,C,-57.327,55.738
850.879,C,-58.494,50.82
850.898,C,-59.047,52.459
850.918,C,-58.375,57.377
850.938,C,-57.65,57.377
850.957,C,-57.505,55.738
850.977,C,-57.783,55.738
850.996,C,-54.417,63.934
851.016,C,-52.922,68.852
851.035,C,-52.892,63.934
851.055,C,-52.634,63.934
851.074,C,-52.873,63.934
851.094,C,-52.389,77.049
851.113,C,-50.041,81.967
851.133,C,-51.062,78.689
851.152,C,-49.503,81.967
851.172,C,-48.6,77.049
851.191,C,-48.774,80.328
851.211,C,-47.277,80.328
851.23,C,-48.294,80.328
851.25,C,-47.16,81.967
851.27,C,-45.442,78.689
851.289,C,-45.122,80.328
851.309,C,-47.888,75.41
851.328,C,-48.816,77.049
851.348,C,-49.36,77.049
851.367,C,-47.867,78.689
851.387,C,-47.508,80.328
851.406,C,-47.203,77.049
851.426,C,-49.448,78.689
851.445,C,-50.812,78.689
851.465,C,-49.165,70.492
851.484,C,-49.387,67.213
851.504,C,-49.601,70.492
851.523,C,-52.325,75.41
851.543,C,-49.727,78.689
851.562,C,-49.327,77.049
851.582,C,-49.498,80.328
851.602,C,-49.436,77.049
851.621,C,-48.274,73.77
851.641,C,-48.174,80.328
851.66,C,-49.956,75.41
851.68,C,-49.029,75.41
851.699,C,-49.762,73.77
851.719,C,-50.626,73.77
851.738,C,-50.822,72.131
851.758,C,-50.667,73.77
851.777,C,-51.812,67.213
851.797,C,-49.818,70.492
851.816,C,-49.629,73.77
851.836,C,-49.986,73.77
851.855,C,-49.174,72.131
851.875,C,-48.632,75.41
851.895,C,-48.772,73.77
851.914,C,-46.901,75.41
851.934,C,-48.058,78.689
851.953,C,-47.782,80.328
851.973,C,-46.973,77.049
851.992,C,-47.717,78.689
852.012,C,-48.494,67.213
852.031,C,-49.031,67.213
852.051,C,-49.336,70.492
852.07,C,-50.062,65.574
852.09,C,-48.387,67.213
852.109,C,-46.731,68.852
852.129,C,-45.928,70.492
852.148,C,-47.999,70.492
852.168,C,-49.176,73.77
852.188,C,-47.583,73.77
852.207,C,-45.806,75.41
852.227,C,-45.92,75.41
852.246,C,-47.948,77.049
852.266,C,-48.479,75.41
852.285,C,-48.154,75.41
852.305,C,-45.016,80.328
852.324,C,-46.971,80.328
852.344,C,-47.588,72.131
852.363,C,-46.939,72.131
852.383,C,-45.787,78.689
852.402,C,-45.823,80.328
852.422,C,-45.422,78.689
852.441,C,-45.165,72.131
852.461,C,-47.503,70.492
852.48,C,-48.213,67.213
852.5,C,-48.607,70.492
852.52,C,-46.695,73.77
852.539,C,-45.242,73.77
852.559,C,-46.088,77.049
852.578,C,-46.568,73.77
852.598,C,-46.879,67.213
852.617,C,-47.907,65.574
852.637,C,-48.449,67.213
852.656,C,-47.851,78.689
852.676,C,-49.032,75.41
852.695,C,-48.974,67.213
852.715,C,-48.49,75.41
852.734,C,-48.24,78.689
852.754,C,-47.6,81.967
852.773,C,-47.169,80.328
852.793,C,-46.443,77.049
852.812,C,-48.781,77.049
852.832,C,-48.101,72.131
852.852,C,-46.948,72.131
852.871,C,-50.158,77.049
852.891,C,-49.124,81.967
852.91,C,-47.964,80.328
852.93,C,-48.603,83.607
852.949,C,-49.456,81.967
852.969,C,-47.394,78.689
852.988,C,-47.869,73.77
853.008,C,-47.148,73.77
853.027,C,-47.613,72.131
853.047,C,-47.642,72.131
853.066,C,-47.743,72.131
853.086,C,-45.872,77.049
853.105,C,-43.25,75.41
